model_type,cv_r2,cv_r2_std,cv_rmse,cv_rmse_std,test_r2,test_rmse,test_mae,test_pearson,y_rand_valid,y_rand_original,y_rand_mean
random_forest,0.5624983754730397,0.038059961623964,0.6274561782119406,0.0445486964271469,-3.1508120701027025,1.8869202665463047,1.6940605420289854,0.1386552881449752,True,0.9096305988211172,0.7526984014369409
gradient_boosting,0.5671920989998551,0.0289155035517266,0.6240933378984417,0.0367510379066131,-3.652059742206063,1.997605178834122,1.8090294188717837,0.1567879506813024,True,0.869598384656484,0.5735247244951256
svr,0.594160119747027,0.0333850787274515,0.6040511109874163,0.0372800169244904,-1.1698558176367355,1.3642766685315164,1.1782813165630006,-0.0732501206040279,True,0.6522488746743218,0.0513607018426089
