smiles,source_id,molecule_chembl_id,MolWt,LogP,HBD,HBA,TPSA,NumRotatableBonds,NumAromaticRings,HeavyAtomCount,FractionCSP3,QED,standard_value,pIC50,activity_class,activity_label,confidence_score,pchembl_value,assay_chembl_id,predicted_pIC50,potency_score,conf_score,qed_score,composite_score,rank
CN(C)CC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL5936311,969.1779999999997,9.011300000000004,4,12,203.34,15,6,70,0.3773584905660377,0.0562665730377704,0.063,10.2007,1,active,0.8,10.2,CHEMBL5738376,9.826493791628373,1.0,0.8,0.05626657303777044,0.8311049568752356,1
CN1CCN(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NC[C@H]6CC[C@](C)(O)CC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)[C@@H](c2ccccc2C2CC2)C1,,CHEMBL5865603,917.1459999999996,8.350300000000008,4,12,186.27,13,5,66,0.48,0.0654636935020492,0.063,10.2007,1,active,0.8,10.2,CHEMBL5738376,9.807267427536923,0.9956619044676484,0.8,0.06546369350204921,0.8303154771787016,2
CN1CCN(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NC[C@H]6CC[C@](C)(O)CC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)[C@H](c2ccccc2C2CC2)C1,,CHEMBL6011671,917.1459999999996,8.350300000000008,4,12,186.27,13,5,66,0.48,0.0654636935020492,0.071,10.1487,1,active,0.8,10.15,CHEMBL5738376,9.807267427536923,0.9956619044676484,0.8,0.06546369350204921,0.8285555424873894,3
CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@@](O)(C(F)(F)F)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5847503,944.0899999999996,9.987099999999998,4,11,183.03,13,5,67,0.4693877551020408,0.0651141767743361,0.063,10.2007,1,active,0.8,10.2,CHEMBL5738376,9.791899343116887,0.9921943628125411,0.8,0.06511417677433616,0.828529278841991,4
CNCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL5773439,955.1509999999996,8.669100000000006,5,12,212.13,15,6,69,0.3653846153846153,0.0483502510483443,0.064,10.1938,1,active,0.8,10.19,CHEMBL5738376,9.78698148416194,0.991084733250773,0.8,0.04835025104834437,0.8252263454066302,5
CC(C)c1ccccc1[C@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@@](O)(C(F)(F)F)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5887445,944.0899999999996,9.987099999999998,4,11,183.03,13,5,67,0.4693877551020408,0.0651141767743361,0.098,10.0088,1,active,0.8,10.01,CHEMBL5738376,9.791899343116887,0.9921943628125411,0.8,0.06511417677433616,0.8220344429330907,6
CC1(C)CC(CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CCC[C@H]4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC(C)(C)O1,,CHEMBL5783645,916.158,10.241299999999995,3,11,172.03,13,5,66,0.4901960784313725,0.0758190521885887,0.092,10.0362,1,active,0.8,10.04,CHEMBL5738376,9.744603723606392,0.981522926719769,0.8,0.0758190521885887,0.8192318064015724,7
CCc1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@@H]5COCCO5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5903988,850.0109999999996,7.357900000000008,3,12,181.26,13,5,61,0.4222222222222222,0.0792749241062402,0.059,10.2291,1,active,0.8,10.23,CHEMBL5738376,9.681995522080141,0.9673964721266003,0.8,0.07927492410624021,0.8192156406994459,8
O=C(NS(=O)(=O)c1ccc(NC[C@@H]2COCCO2)c([N+](=O)[O-])c1)c1ccc(N2CCC3(CC2)CC(N2CCC[C@H]2c2ccccc2C2CC2)C3)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5965443,862.0219999999998,7.672900000000008,3,12,181.26,13,5,62,0.4347826086956521,0.0777741222957385,0.07,10.1549,1,active,0.8,10.15,CHEMBL5738376,9.699544280002218,0.9713560449287161,0.8,0.07777412229573852,0.8184590154040178,9
CN1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL5871180,896.0829999999996,9.462600000000002,4,11,183.03,13,6,65,0.32,0.0640063048091191,0.068,10.1675,1,active,0.8,10.17,CHEMBL5738376,9.704709892561327,0.9725215757934154,0.8,0.06400630480911917,0.8174030539270385,10
CN(C)CCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL5981762,983.2049999999996,9.401400000000004,4,12,203.34,16,6,71,0.3888888888888889,0.0529332522338149,0.084,10.0757,1,active,0.8,10.08,CHEMBL5738376,9.718790275273061,0.9756985698961504,0.8,0.0529332522338149,0.8142236314639861,11
CN1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5(F)CCN(C6COC6)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL5841570,941.0989999999996,8.724300000000005,3,12,175.27,14,6,68,0.3333333333333333,0.0701045338528212,0.095,10.0223,1,active,0.8,10.02,CHEMBL5738376,9.701050503167389,0.9716958980570805,0.8,0.07010453385282121,0.812990670238916,12
O=C(NS(=O)(=O)c1ccc(NCC2CCC(O)(C(F)(F)F)CC2)c([N+](=O)[O-])c1)c1ccc(N2CCC3(CC2)CC(N2CCC[C@H]2c2ccccc2C2CC2)C3)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5931376,942.0739999999992,9.7411,4,11,183.03,13,5,67,0.4693877551020408,0.06513901758123,0.058,10.2366,1,active,0.8,10.24,CHEMBL5738376,9.619544832531359,0.9533055573787448,0.8,0.06513901758123,0.8103036340810905,13
CC(C)c1ccccc1[C@@H]1CN(C)CCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL6014576,919.1619999999996,8.596300000000006,4,12,186.27,13,5,66,0.48,0.0652245131123312,0.17,9.7696,1,active,0.8,9.77,CHEMBL5738376,9.739290149824079,0.9803240109717767,0.8,0.06522451311233128,0.8080201178833715,14
CO[C@]1(C)CC[C@@H](CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CCC[C@H]4c4ccccc4C(C)C)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1,,CHEMBL5561680,904.147,10.098799999999995,3,11,172.02999999999997,14,5,65,0.48,0.0715405269869023,0.087,10.0605,1,active,0.8,10.06,CHEMBL5510211,9.628228136783212,0.9552647943515725,0.8,0.0715405269869023,0.8062833924564305,15
CC1(C)CC(CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CCC[C@H]4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CCO1,,CHEMBL5788757,888.1039999999999,9.462700000000002,3,11,172.03,13,5,64,0.4693877551020408,0.0759772660032486,0.084,10.0757,1,active,0.8,10.08,CHEMBL5738376,9.580292524044282,0.9444489548889375,0.8,0.07597726600324867,0.8020554260257947,16
CN(CC1CCOCC1)C(=O)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC4(CC3)CC(N3CCC[C@H]3c3ccccc3C3CC3)C4)cc2Oc2cnc3[nH]ccc3c2)cc1[N+](=O)[O-],,CHEMBL5758637,917.1019999999996,8.735900000000006,3,11,192.34,13,5,66,0.4489795918367347,0.0755847201904304,0.12,9.9208,1,active,0.8,9.92,CHEMBL5738376,9.605888809789652,0.9502243127417604,0.8,0.0755847201904304,0.7996416483940476,17
CCc1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5542719,848.0389999999995,8.369100000000007,3,11,172.03,13,5,61,0.4347826086956521,0.0768099964200936,0.078,10.1079,1,active,0.8,10.42,CHEMBL5510211,9.547710847505833,0.9370974647811005,0.8,0.07680999642009365,0.7995943962471003,18
Nc1ncc(Oc2cc(N3CCC4(CC3)CC(N3CCC[C@H]3c3ccccc3C3CC3)C4)ccc2C(=O)NS(=O)(=O)c2ccc(NCC3CCOCC3)c([N+](=O)[O-])c2)cc1Cl,,CHEMBL5809484,870.4729999999998,8.438400000000007,3,12,182.26,13,4,61,0.4666666666666667,0.0862946336298022,0.076,10.1192,1,active,0.8,10.12,CHEMBL5738376,9.520223327974803,0.930895382832282,0.8,0.08629463362980223,0.7982984982005286,19
CN(C)CCOC1CC(c2ccccc2C2CC2)N(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NCC6CCOCC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)C1,,CHEMBL5914817,947.1719999999996,8.240800000000009,3,13,184.5,17,5,68,0.4901960784313725,0.05989508328014,0.15,9.8239,1,active,0.8,9.82,CHEMBL5738376,9.618280242854372,0.9530202246553082,0.8,0.059895083280140086,0.7954065882068135,20
CN1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5(F)CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL5769999,886.0189999999997,9.040100000000002,3,11,172.03,13,6,64,0.2916666666666667,0.0746601400282389,0.099,10.0044,1,active,0.8,10.0,CHEMBL5738376,9.515671599235205,0.9298683642022486,0.8,0.07466014002823894,0.7921544205652264,21
CN1CCC(Cc2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL5811985,884.0719999999995,9.113400000000002,3,11,172.03,14,6,64,0.3469387755102041,0.0703929457088453,0.11,9.9586,1,active,0.8,9.96,CHEMBL5738376,9.527443943550335,0.9325245894789498,0.8,0.07039294570884531,0.7912923577313968,22
CCOc1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5556265,864.0379999999996,8.205400000000008,3,12,181.26,14,5,62,0.4347826086956521,0.072039716239001,0.095,10.0223,1,active,0.8,10.02,CHEMBL5510211,9.505048559423352,0.9274714595494191,0.8,0.07203971623900104,0.7911687283430123,23
CN1CCN(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NCC6CCOCC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)C(c2ccccc2C2CC2)C1,,CHEMBL5768701,889.0919999999998,7.835700000000008,3,12,175.27,13,5,64,0.4583333333333333,0.0773267236733389,0.094,10.0269,1,active,0.8,10.03,CHEMBL5738376,9.469794244760239,0.9195169350117203,0.8,0.07732672367333897,0.788140203719699,24
CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4cc5c(c([N+](=O)[O-])c4)N[C@H](C4CCC(C)(O)CC4)CO5)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5532549,918.1299999999994,9.205700000000002,4,12,192.26,11,5,66,0.48,0.0726647357553493,0.353,9.4522,1,active,0.8,10.82,CHEMBL5510211,9.642259805077703,0.9584307968911187,0.8,0.07266473575534935,0.7874471736429085,25
Cc1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5564290,834.0119999999996,8.115120000000008,3,11,172.03,12,5,60,0.4222222222222222,0.0819184991826831,0.11,9.9586,1,active,0.8,10.29,CHEMBL5510211,9.477325988944948,0.9212163424318175,0.8,0.0819184991826831,0.7873670672289066,26
CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5560668,890.1199999999994,9.4447,4,11,183.03,13,5,64,0.4693877551020408,0.065270787628544,0.074,10.1308,1,active,0.8,10.77,CHEMBL5510211,9.433586950199802,0.9113473870917876,0.8,0.06527078762854406,0.785763524245847,27
CCCc1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5995017,890.1199999999994,9.273800000000003,4,11,183.03,14,5,64,0.4693877551020408,0.0615948847604205,0.091,10.041,1,active,0.8,10.04,CHEMBL5738376,9.433698448612493,0.9113725447744186,0.8,0.06159488476042057,0.7821854458246393,28
CN1CCC2(CC1)CN(c1ccccc1[C@H]1CCCN1c1ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc1)C2,,CHEMBL6039338,911.0979999999996,8.761100000000004,3,12,175.27,13,6,66,0.36,0.0743540394905053,0.28,9.5528,1,active,0.8,9.55,CHEMBL5738376,9.556154584893987,0.9390026476469647,0.8,0.0743540394905053,0.7813912913108358,29
CN(C)C1CCCN(c2ccccc2[C@@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)C1,,CHEMBL5802211,899.0869999999996,8.759500000000005,3,12,175.27,14,6,65,0.3469387755102041,0.0701527852171425,0.15,9.8239,1,active,0.8,9.82,CHEMBL5738376,9.477594742723939,0.9212769820599032,0.8,0.07015278521714259,0.7810736221996613,30
O=C(NS(=O)(=O)c1ccc(NCCN2CCOCC2=O)c([N+](=O)[O-])c1)c1ccc(N2CCC3(CC2)CC(N2CCC[C@H]2c2ccccc2C2CC2)C3)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5893372,889.0479999999998,7.116300000000009,3,12,192.34,14,5,64,0.425531914893617,0.0757208000315935,0.13,9.8861,1,active,0.8,9.89,CHEMBL5738376,9.451098553203467,0.9152985765311002,0.8,0.07572080003159352,0.7810247743074202,31
COc1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5567413,850.0109999999995,7.815300000000009,3,12,181.26,13,5,61,0.4222222222222222,0.0773529895809179,0.12,9.9208,1,active,0.8,10.21,CHEMBL5510211,9.42451880238151,0.9093013168441775,0.8,0.07735298958091795,0.7794453908538292,32
CN(C)C1CCN(c2ccccc2C2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL5962024,899.0869999999996,8.759500000000005,3,12,175.27,14,6,65,0.3469387755102041,0.0701527852171425,0.23,9.6383,1,active,0.8,9.64,CHEMBL5738376,9.473051938749581,0.9202519771483257,0.8,0.07015278521714259,0.7742795066918043,33
CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5314951,890.1199999999994,9.4447,4,11,183.03,13,5,64,0.4693877551020408,0.065270787628544,0.1795,9.7459,1,active,0.8,10.72,CHEMBL5510211,9.433586950199802,0.9113473870917876,0.8,0.06527078762854406,0.7727366230403454,34
CN1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL6053673,870.0449999999996,9.038300000000005,3,11,172.03,13,6,63,0.3333333333333333,0.0747147727827633,0.21,9.6778,1,active,0.8,9.68,CHEMBL5738376,9.437706380484515,0.9122768650746736,0.8,0.07471477278276337,0.7723131222572605,35
CN(CC1CCCN1C)c1ccccc1C1CCCN1c1ccc(-c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)cc1,,CHEMBL5770993,899.0869999999998,8.759500000000005,3,12,175.27,15,6,65,0.3469387755102041,0.0661368841304159,0.25,9.6021,1,active,0.8,9.6,CHEMBL5738376,9.448220844786876,0.9146492715472747,0.8,0.06613688413041596,0.7696505834239332,36
CN1CCC(Oc2ccccc2C2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL6059979,886.0439999999995,8.702100000000005,3,12,181.26,14,6,64,0.3333333333333333,0.070050735843441,0.24,9.6198,1,active,0.8,9.62,CHEMBL5738376,9.434998995217574,0.9116659905549253,0.8,0.07005073584344106,0.7693450753777165,37
CC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL5890230,926.1089999999996,9.469600000000002,4,11,200.1,13,6,67,0.3529411764705882,0.0635283861731017,1.1,8.9586,1,active,0.8,8.96,CHEMBL5738376,9.638554024486625,0.9575946517859097,0.8,0.06352838617310179,0.7689528070446647,38
CN1CCCC(N(C)c2ccccc2C2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)C1,,CHEMBL5937698,899.0869999999996,8.759500000000005,3,12,175.27,14,6,65,0.3469387755102041,0.0701527852171425,0.35,9.4559,1,active,0.8,9.46,CHEMBL5738376,9.47996583772339,0.9218119785145095,0.8,0.07015278521714259,0.7688861979961394,39
CC(C)(N)C(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL5775670,969.1779999999997,9.187000000000005,5,12,226.12,14,6,70,0.3773584905660377,0.0508780264402226,1.2,8.9208,1,active,0.8,8.92,CHEMBL5738376,9.663948350907976,0.96332444102071,0.8,0.050878026440222636,0.7686408105611406,40
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CC3(CC(N4CCCC4c4ccccc4C4CC4)C3)C2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5560955,831.9959999999999,7.903900000000009,3,11,172.03,13,5,60,0.4222222222222222,0.0778125978484487,0.12,9.9208,1,active,0.8,9.92,CHEMBL5510211,9.315441610692641,0.8846899407308245,0.8,0.07781259784844878,0.7672086440372823,41
CN(C)C1CCCN(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)C1,,CHEMBL6051337,899.0869999999996,8.759500000000005,3,12,175.27,14,6,65,0.3469387755102041,0.0701527852171425,0.58,9.2366,1,active,0.8,9.24,CHEMBL5738376,9.477594742723939,0.9212769820599032,0.8,0.07015278521714259,0.7611965136572061,42
C[C@]1(O)CC[C@H](CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CC(C(F)(F)F)CC4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1,,CHEMBL5813106,956.101,9.987099999999998,4,11,183.03,13,5,68,0.48,0.0651023236400481,3.8,8.4202,1,active,0.8,8.42,CHEMBL5738376,9.720732819073712,0.9761368712069399,0.8,0.06510232364004817,0.7602379143405582,43
CCN(CC)C[C@H]1COCCN1CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC([C@@H](O)c4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1S(=O)(=O)C(F)(F)F,,CHEMBL3703616,1042.7089999999998,9.374700000000002,3,12,148.58999999999995,20,5,70,0.392156862745098,0.063842815559327,0.3,9.5229,1,active,0.8,9.52,CHEMBL3707482,9.387863240161497,0.9010306251030809,0.8,0.06384281555932704,0.7598166340017128,44
CCN(CC)C[C@@H]1COCCN1CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC([C@@H](O)c4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1S(=O)(=O)C(F)(F)F,,CHEMBL3703617,1042.7089999999998,9.374700000000002,3,12,148.58999999999995,20,5,70,0.392156862745098,0.063842815559327,0.3,9.5229,1,active,0.8,9.52,CHEMBL3707482,9.387863240161497,0.9010306251030809,0.8,0.06384281555932704,0.7598166340017128,45
CC(C)Oc1ccccc1[C@@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5562626,878.0649999999995,8.593900000000005,3,12,181.26,14,5,63,0.4468085106382978,0.0715250031012741,0.076,10.1192,1,active,0.8,10.12,CHEMBL5510211,9.176146398793982,0.853260392557217,0.8,0.0715250031012741,0.7572655584837167,46
CN1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@@H]5COCCO5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,,CHEMBL5910275,870.0009999999997,7.936800000000009,3,12,181.26,13,6,63,0.2765957446808511,0.0754521914516845,0.17,9.7696,1,active,0.8,9.77,CHEMBL5738376,9.263888851190478,0.8730579548486792,0.8,0.07545219145168457,0.7559212415727257,47
CC1CC(c2ccccc2C2CC2)N(C2CC3(CCN(c4ccc(C(=O)NS(=O)(=O)c5ccc(NCC6CCOCC6)c([N+](=O)[O-])c5)c(Oc5cnc6[nH]ccc6c5)c4)CC3)C2)C1,,CHEMBL5941985,874.0769999999994,8.930100000000003,3,11,172.03,13,5,63,0.4583333333333333,0.0762074189620433,0.21,9.6778,1,active,0.8,9.68,CHEMBL5738376,9.286557520056054,0.8781727467387299,0.8,0.07620741896204337,0.7554849600161806,48
CN(C)C[C@H]1COCCN1CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC([C@@H](O)c4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1S(=O)(=O)C(F)(F)F,,CHEMBL4108604,1014.655,8.594500000000007,3,12,148.58999999999995,18,5,68,0.3673469387755102,0.0722635717640541,0.3,9.5229,1,active,0.8,9.52,CHEMBL3887911,9.325302518494833,0.8869148835165821,0.8,0.07226357176405412,0.7540218766391725,49
CC(C)c1ccccc1[C@H]1CCCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,,CHEMBL5943655,890.1199999999994,9.4447,4,11,183.03,13,5,64,0.4693877551020408,0.065270787628544,0.74,9.1308,1,active,0.8,9.13,CHEMBL5738376,9.433586950199802,0.9113473870917876,0.8,0.06527078762854406,0.7519186263359964,50
CN1CCC(N(C)c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)C1,,CHEMBL6036388,885.0599999999997,8.369400000000006,3,12,175.27,14,6,64,0.3333333333333333,0.0705398358850069,0.38,9.4202,1,active,0.8,9.42,CHEMBL5738376,9.324111539862914,0.8866461598485146,0.8,0.0705398358850069,0.75015308340794,51
CN(C)CC1CCCN1c1ccccc1C1CCCN1c1ccc(-c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)cc1,,CHEMBL5886990,899.0869999999998,8.759500000000005,3,12,175.27,15,6,65,0.3469387755102041,0.0661368841304159,0.74,9.1308,1,active,0.8,9.13,CHEMBL5738376,9.409352674642571,0.9058793432107634,0.8,0.06613688413041596,0.749314518870765,52
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CCC3(CC2)CC(N2CCCCCC2c2ccccc2C2CC2)C3)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5836711,888.1039999999997,9.4643,3,11,172.03,13,5,64,0.4693877551020408,0.0759769269047005,0.28,9.5528,1,active,0.8,9.55,CHEMBL5738376,9.262020687027965,0.8726364360129519,0.8,0.07597692690470058,0.7484516186059588,53
C[C@]1(O)CC[C@H](CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CC5(CCC(N6CCC[C@H]6c6ccccc6C6CC6)C5)C4)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1,,CHEMBL5934956,874.0769999999999,8.808600000000004,4,11,183.03,13,5,63,0.4583333333333333,0.0655309685074559,0.27,9.5686,1,active,0.8,9.57,CHEMBL5738376,9.263807386351983,0.8730395737210652,0.8,0.06553096850745592,0.7476210430874045,54
