smiles,source_id,molecule_chembl_id,MolWt,LogP,HBD,HBA,TPSA,NumRotatableBonds,NumAromaticRings,HeavyAtomCount,FractionCSP3,QED,standard_value,pIC50,activity_class,activity_label,confidence_score,pchembl_value,assay_chembl_id,predicted_pIC50,potency_score,conf_score,qed_score,composite_score,rank
CCCCN(CCCC)c1ncc(Cl)c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2Cc3ccccc3C[C@H]2CO)n1,,CHEMBL3957861,740.3259999999999,7.03490000000001,2,8,132.8,13,5,52,0.3,0.1315567678972222,60.0,7.2218,1,active,0.8,7.22,CHEMBL3888503,7.189233483443778,0.40494796071860867,0.8,0.13155676789722226,0.4440519000798038,1340
O=C(NS(=O)(=O)c1ccc(N2CC3(CCOCC3)C2)c([N+](=O)[O-])c1)c1ccc(-c2ccc(N3CCCC3c3ccccc3Cl)cc2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL6010999,819.3400000000001,8.660800000000005,2,10,160.00000000000003,10,6,58,0.2558139534883721,0.1011732798317753,125.0,6.9031,1,active,0.8,6.9,CHEMBL5738374,7.322926838598062,0.4351135470947562,0.8,0.10117327983177539,0.44379080109419117,1341
Cc1cc(C(=O)N(c2ccccc2)c2ccc(O)cc2)cn1-c1cc(C(F)(F)F)ccc1C(=O)N1Cc2ccccc2C[C@H]1CN(C)C,,CHEMBL5965013,652.717,7.61732000000001,1,5,69.02,7,5,48,0.2105263157894736,0.1965581647486416,120.0,6.9208,1,active,0.8,6.92,CHEMBL5732641,7.186677341650574,0.404371211665048,0.8,0.19655816474864163,0.44332642080987134,1342
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CCNC2,,CHEMBL6001407,574.725,5.706300000000006,2,5,77.81,4,4,43,0.3333333333333333,0.3276244427997479,83.0,7.0809,1,active,0.8,7.08,CHEMBL5732950,6.9641530809879075,0.3541624724344285,0.8,0.3276244427997479,0.44330056105759463,1343
CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc4c(NS(=O)(=O)c5ccc(N[C@H](CCN6CCOCC6)CSc6ccccc6)c(S(=O)(=O)C(F)(F)F)c5)ncnc4c3)CC2)C1,,CHEMBL1689146,998.6599999999996,9.4585,2,12,137.07,16,5,67,0.4166666666666667,0.0911988109110637,84.0,7.0757,1,active,0.8,7.08,CHEMBL1693055,7.279024523985459,0.425207751387625,0.8,0.09119881091106377,0.443183362281759,1344
CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccc(Cl)cc4c3)cc2C(=O)N2CCc3ccccc3C2)c(C)c1Cl,,CHEMBL3892056,774.7709999999997,8.000320000000007,1,7,121.68,12,5,53,0.3,0.1372205023215632,90.0,7.0458,1,active,0.8,7.05,CHEMBL3888503,7.2192413269574836,0.4117187100533829,0.8,0.1372205023215632,0.44233013287870837,1345
CCCCc1c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2CCc3ccccc3C2)c(CO)nn1-c1ccccc1,,CHEMBL2030847,698.845,6.844600000000008,2,7,121.6,10,6,51,0.1951219512195122,0.1616095830916566,61.0,7.2147,1,active,0.8,7.21,CHEMBL2033942,7.135069833575308,0.39272687271712026,0.8,0.16160958309165663,0.4422089795830648,1346
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(C2=CCC(N3CCCC3c3ccccc3C3CCCC3)CC2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5912154,845.0349999999999,9.6512,3,10,168.79,13,5,61,0.4042553191489361,0.0766569271315654,93.0,7.0315,1,active,0.8,7.03,CHEMBL5738374,7.302348888097454,0.4304704895355092,0.8,0.0766569271315654,0.44213750430116094,1347
Cc1ccc(N(C(=O)c2cn(-c3cc4c(cc3C(=O)N3Cc5ccccc5C[C@H]3CN3CCN(C)CC3)OCO4)c3ccccc23)c2ccc(O)c(Cl)c2)cc1,,CHEMBL5880144,768.3140000000003,7.819620000000009,1,8,90.72,7,6,56,0.2444444444444444,0.1773038694347933,168.0,6.7747,1,active,0.8,6.78,CHEMBL5732641,7.2384788535081555,0.41605932420101976,0.8,0.17730386943479332,0.4413375931961508,1348
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(-c2ccc(N3CCCC3C3CC3)cc2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL6006767,736.8510000000001,7.266400000000007,3,10,168.79,12,5,53,0.3333333333333333,0.0875268546582168,56.0,7.2518,1,active,0.8,7.25,CHEMBL5738374,7.214698916895327,0.41069379402126044,0.8,0.08752685465821687,0.4413356766825744,1349
CCCCN(CCCC)C(=O)c1cn(-c2ccc(NC(=O)CSc3ccccc3)cc2C(=O)N2Cc3ccccc3C[C@H]2CN2CCN(C)CC2)c2ccccc12,,CHEMBL6043187,785.0709999999997,8.218200000000008,1,7,81.12999999999998,15,5,57,0.3829787234042553,0.1079211241915092,57.7,7.2388,1,active,0.8,7.24,CHEMBL5732641,7.191302123931061,0.40541471355930386,0.8,0.10792112419150922,0.4413152932087619,1350
