smiles,source_id,molecule_chembl_id,MolWt,LogP,HBD,HBA,TPSA,NumRotatableBonds,NumAromaticRings,HeavyAtomCount,FractionCSP3,QED,standard_value,pIC50,activity_class,activity_label,confidence_score,pchembl_value,assay_chembl_id
Cc1c(C(=O)N(C)c2ccc(O)cc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2CCCN2CCOCC2)CN(C(=O)OC2CCCCC2)CC3)n1C,,CHEMBL5828406,788.0019999999995,7.489620000000009,1,8,107.79,9,4,58,0.4680851063829787,0.1874774539858734,3.1,8.5086,1,active,0.8,8.51,CHEMBL5732950
Cc1c(C(=O)N(C)c2ccccc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2CCCN2CCOCC2)CN(C(=O)OC2CCCCC2)CC3)n1C,,CHEMBL5979408,772.0029999999996,7.78402000000001,0,7,87.56,9,4,57,0.4680851063829787,0.1728898127495682,3.8,8.4202,1,active,0.8,8.42,CHEMBL5732950
O=C(NS(=O)(=O)c1ccc(NCC2COCCO2)c([N+](=O)[O-])c1)c1ccc(C2=CCN(CC3=C(c4ccc(Cl)cc4)CC4(CCC4)CC3)CC2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5872170,879.4359999999996,8.759900000000005,3,11,178.02,13,5,62,0.3478260869565217,0.0761016673225994,1.4,8.8539,1,active,0.8,8.85,CHEMBL5733102
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CCN(CC3=C(c4ccc(Cl)cc4)CC4(CC3)COC4)CC2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5915070,882.4399999999997,7.650300000000008,3,12,181.26,13,5,62,0.3777777777777777,0.0777808057456635,0.76,9.1192,1,active,0.8,9.12,CHEMBL5733102
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CCN(CC3=C(c4ccc(Cl)cc4)CC4(CCC4)CC3)CC2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5862961,880.4679999999996,8.804000000000006,3,11,172.03,13,5,62,0.391304347826087,0.0762589132039937,1.2,8.9208,1,active,0.8,8.92,CHEMBL5733102
O=C(NS(=O)(=O)c1cccc([N+](=O)[O-])c1)c1ccc(N2CCN(CC3=C(c4ccc(Cl)cc4)CC4(CCC4)CC3)CC2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5846384,767.3079999999998,7.965500000000008,2,9,150.76999999999998,10,5,54,0.3,0.106580706163507,3.1,8.5086,1,active,0.8,8.51,CHEMBL5733102
O=C(NS(=O)(=O)c1ccc(NCC2COCCO2)c([N+](=O)[O-])c1)c1ccc(C2=CCN(CC3=C(c4ccc(Cl)cc4)CC4(CC3)COC4)CC2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5995747,881.4079999999997,7.606200000000008,3,12,187.25,13,5,62,0.3333333333333333,0.0777685318501569,2.1,8.6778,1,active,0.8,8.68,CHEMBL5733102
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(C2=CCN(CC3=C(c4ccc(Cl)cc4)CC4(CCC4)CC3)CC2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5925473,877.4639999999996,9.771099999999995,3,10,168.79,13,5,62,0.3617021276595745,0.0764949350611829,2.4,8.6198,1,active,0.8,8.62,CHEMBL5733102
O=C(NS(=O)(=O)c1ccc(NCC2COCCO2)c([N+](=O)[O-])c1)c1ccc(N2CCN(CC3=C(c4ccc(Cl)cc4)CC4(CC3)COC4)CC2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL5753919,884.4119999999997,6.639100000000007,3,13,190.49,13,5,62,0.3636363636363636,0.0843931904873964,2.4,8.6198,1,active,0.8,8.62,CHEMBL5733102
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(C2=CCN(CC3=C(c4ccc(Cl)cc4)CC4(CC3)COC4)CC2)cc1Oc1cnc2[nH]ccc2c1,,CHEMBL6018977,879.4359999999997,8.617400000000005,3,11,178.02,13,5,62,0.3478260869565217,0.0762134997254343,1.9,8.7212,1,active,0.8,8.72,CHEMBL5733102
