smiles,source,predicted_pIC50,predicted_IC50_nM,MolWt,LogP,QED,AromaticRings,RingCount,is_novel,admet_caco2_class,admet_caco2_risk,admet_hia_class,admet_hia_risk,admet_pgp_substrate,admet_pgp_risk,admet_bioavailability_score,admet_bioavailability_risk,admet_tpsa,admet_mw,admet_logp,admet_bbb_penetrant,admet_bbb_logbb,admet_bbb_risk,admet_ppb_class,admet_ppb_risk,admet_vod_class,admet_vod_risk,admet_cyp_alerts,admet_cyp_n_alerts,admet_cyp_inhibition_risk,admet_cyp_risk,admet_metabolic_stability,admet_metabolic_stability_score,admet_metabolic_risk,admet_renal_clearance,admet_renal_risk,admet_halflife_class,admet_halflife_risk,admet_herg_risk_flag,admet_herg_alerts,admet_herg_n_alerts,admet_herg_risk,admet_ames_alerts,admet_ames_n_alerts,admet_ames_risk,admet_hepatotox_alerts,admet_hepatotox_n_alerts,admet_hepatotox_risk,admet_mrdd_class,admet_mrdd_risk,admet_score,admet_class,admet_absorption_score,admet_distribution_score,admet_metabolism_score,admet_excretion_score,admet_toxicity_score,admet_n_red_flags,admet_n_yellow_flags,admet_n_green_flags
CNCC(=O)N1CCC(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4cc5c(NC[C@H]6CC[C@](C)(O)CC6)c([N+](=O)[O-])c4-5)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,mutation,9.700413373923848,0.1993364070708322,953.1349999999996,8.649500000000005,0.0482861022270896,5,10,True,low,red,low,red,True,yellow,0.0,red,212.12999999999997,953.1349999999995,8.649500000000005,False,-0.617,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
CN(C)CCC(=O)N1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]cc(N)c5c4)c3)cc2)CC1,mutation,9.692788325741477,0.2028671248891743,996.2039999999996,8.893300000000004,0.0451275982516677,6,9,True,low,red,low,red,True,yellow,0.0,red,229.36,996.2039999999995,8.893300000000004,False,-0.751,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_amine,aromatic_nitroso",3,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
COCC(C)c1ccccc1[C@@H]1CN(C)CCN1C1CC2(CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5O)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C1,mutation,9.687339822609056,0.2054282551500976,965.1869999999996,7.19360000000001,0.0518800478613782,5,9,True,low,red,low,red,True,yellow,0.0,red,215.73,965.1869999999997,7.19360000000001,False,-0.878,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
COc1c(S(=O)(=O)NC(=O)c2ccc(N3CCC4(CC3)CC(N3CCC[C@H]3c3ccccc3C3CC3)C4)cc2Oc2cnc3[nH]ccc3c2)ccc(NCC2C=CC(O)(C(F)(F)F)CC2)c1[N+](=O)[O-],mutation,9.68043844570596,0.2087187928444632,970.084,9.5257,0.0468919034733979,5,10,True,low,red,low,red,True,yellow,0.0,red,192.25999999999996,970.0840000000001,9.525699999999999,False,-0.282,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.281,poor,0.125,0.5,0.25,0.5,0.25,6,9,0
C[C@]1(O)CC[C@H](CNc2ccc(S(=O)(=O)NC(=O)c3ncc(N4CCC56CC4CN4CCN(C(C5)C6)[C@H](c5ccccc5C5CC5)C4)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1,mutation,9.677786341519598,0.2099972746474858,916.1179999999998,7.497700000000008,0.0709687657946875,5,13,True,low,red,low,red,True,yellow,0.0,red,199.15999999999997,916.1179999999998,7.497700000000008,False,-0.665,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
O=C(NS(=O)(=O)c1ccc(NCC2CCC(O)(C(F)F)CC2)c([N+](=O)[O-])c1)c1ccc(N2CCC3(CC2)CC(N2CCC[C@H]2c2ccccc2C2CC2O)C3)cc1Oc1cnc2[nH]ccc2c1,mutation,9.676346802834388,0.2106944991733806,940.0829999999996,8.414700000000007,0.052631902417125,5,10,True,low,red,low,red,True,yellow,0.0,red,203.26000000000002,940.0829999999996,8.414700000000007,False,-0.564,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
CN1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+]=O)c4)c(Oc4cnc5[nH]ccc5c4)c3)c(O)c2)CC1,mutation,9.675065975180374,0.2113167996775484,896.0829999999996,8.993700000000004,0.0743665407683866,6,9,True,low,red,low,red,True,yellow,0.0,red,191.28999999999996,896.0829999999996,8.993700000000004,False,-0.355,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,aromatic_nitroso,1,yellow,aniline,1,yellow,high_dose,yellow,0.344,poor,0.125,0.667,0.25,0.5,0.375,5,9,1
CN1CC=C(c2ccccc2[C@H]2CCCN2c2ccc(-c3ccc(C(=O)N[SH](=O)(O)c4ccc(NCC5(F)CCN(C6COC6)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)cc2)CC1,mutation,9.654142041659446,0.2217471048435194,943.1149999999994,8.799200000000004,0.0399048644034109,6,10,True,low,red,low,red,True,yellow,0.0,red,178.42999999999998,943.1149999999994,8.799200000000004,False,-0.256,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.281,poor,0.125,0.5,0.25,0.5,0.25,6,9,0
CC1(C)CC(CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCC5(CC4)CC(N4CCC[C@H]4c4ccccc4C4CC4)C5)cc3Oc3cnc4[nH]ccc4c3)cc2[N+]([O-])=S)CC(C)(CO)O1,mutation,9.653306385576084,0.222174194566492,948.225,9.1778,0.0614860061155809,5,10,True,low,red,low,red,True,yellow,0.0,red,175.18999999999997,948.2249999999999,9.177800000000001,False,-0.165,yellow,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,,0,green,aniline,1,yellow,high_dose,yellow,0.356,poor,0.125,0.5,0.25,0.5,0.5,5,9,1
CN1CCN(C2CC3(CCN(c4cc(Oc5cnc6[nH]ccc6c5)c(C(=O)NS(=O)(=O)c5ccc(NC[C@H]6CC[C@](C)(O)CC6)c([N+](=O)[O-])c5)cc#4)CC3)C2)[C@H](c2ccccc2C2CC2)C1,mutation,9.651855908619169,0.2229174628090444,916.1379999999994,7.7698800000000094,0.0705225465348808,5,10,True,low,red,low,red,True,yellow,0.0,red,186.26999999999998,916.1379999999994,7.7698800000000094,False,-0.494,green,high,yellow,high,yellow,pyridine_N,1,moderate,yellow,low,0.0,red,False,yellow,long,yellow,True,"basic_nitrogen_long_chain,high_logp_mw",2,red,"aromatic_nitro,aromatic_nitroso",2,red,"aniline,nitroaromatic_hep",2,yellow,high_dose,yellow,0.306,poor,0.125,0.667,0.25,0.5,0.25,6,8,1
